,Date,Team,Acquired,Relinquished,Notes,Injury Type
0,2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),hand/finger
1,2010-10-06,Pistons,,Jonas Jerebko,torn right Acchilles tendon (out indefinitely),illness
2,2010-10-06,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely),foot
3,2010-10-08,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely),knee
4,2010-10-08,Nets,,Troy Murphy,strained lower back (out indefinitely),back
5,2010-10-08,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon,illness
6,2010-10-08,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal,foot
7,2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),foot
8,2010-10-12,Bucks,,Darington Hobson,surgery on left hip (out for season),hip
9,2010-10-12,Kings,,Samuel Dalembert,strained left groin (out indefinitely),groin
10,2010-10-17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely),leg
11,2010-10-18,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely),hand/finger
12,2010-10-19,Suns,,Josh Childress,fractured right index finger (out indefinitely),hand/finger
13,2010-10-22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),hand/finger
14,2010-10-25,Thunder,,Nick Collison,left knee injury (out indefinitely),knee
15,2010-10-25,Timberwolves,,Martell Webster,surgery on back (out indefinitely),back
16,2010-10-26,Heat,,Mario Chalmers,sprained ankle (out indefinitely),ankle
17,2010-10-27,Bucks,,Jon Brockman,sprained left ankle (DNP),ankle
18,2010-10-27,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP),ankle
19,2010-10-28,Grizzlies,,Zach Randolph,back injury (DTD),back
20,2010-10-28,Hawks,,Maurice Evans,right knee inflammation (DTD),knee
21,2010-10-28,Spurs,,Matt Bonner,sprained right ankle (DTD),ankle
23,2010-10-29,Pistons,,Will Bynum,sore right hamstring (DNP),hamstring
